loss_A,obs_act_acc_A,obs_card_acc_A,act_acc_A,loss_B,obs_act_acc_B,obs_card_acc_B,act_acc_B,loss_C,obs_act_acc_C,obs_card_acc_C,act_acc_C,loss_D,obs_act_acc_D,obs_card_acc_D,act_acc_D,loss_E,obs_act_acc_E,obs_card_acc_E,act_acc_E,loss_F,obs_act_acc_F,obs_card_acc_F,act_acc_F,loss_G,obs_act_acc_G,obs_card_acc_G,act_acc_G
0.6342495779196421,1.0,1.0,0.875,0.6667289634545644,1.0,1.0,0.7083333333333334,0.7438223659992218,1.0,1.0,0.5729166666666666,0.6872111856937408,1.0,1.0,0.6770833333333334,0.7811447083950043,1.0,1.0,0.7604166666666666,0.2053134004984583,1.0,1.0,0.9398148148148148,0.38864110289800047,0.8981012658227848,0.8715189873417721,0.8158227848101266
0.5452320774396261,1.0,1.0,0.9166666666666666,0.6593368947505951,1.0,1.0,0.7083333333333334,0.702907790740331,1.0,1.0,0.6145833333333334,0.6165774861971537,1.0,1.0,0.8333333333333334,0.7458286682764689,1.0,1.0,0.75,0.24146672763994761,1.0,1.0,0.8796296296296297,0.3663851597694435,0.9082278481012658,0.8740506329113924,0.8145569620253165
0.5172939499219259,1.0,1.0,0.9166666666666666,0.6515884498755137,1.0,1.0,0.7083333333333334,0.6767534017562866,1.0,1.0,0.5729166666666666,0.5602903217077255,1.0,1.0,0.8020833333333334,0.7198167542616526,1.0,1.0,0.75,0.2348113560250827,1.0,1.0,0.9490740740740741,0.32724946692134393,0.8886075949367088,0.8816455696202532,0.8126582278481013
0.5071339805920919,1.0,1.0,0.9166666666666666,0.6491571168104807,1.0,1.0,0.7083333333333334,0.6500421563784281,1.0,1.0,0.6145833333333334,0.4967227925856908,1.0,1.0,0.8333333333333334,0.689292699098587,1.0,1.0,0.7708333333333334,0.20789975885834014,1.0,1.0,0.9444444444444444,0.3864185135773938,0.9088607594936708,0.8917721518987342,0.819620253164557
0.4868973692258199,1.0,1.0,0.8958333333333334,0.6434066394964854,1.0,1.0,0.7083333333333334,0.6306976874669393,1.0,1.0,0.5729166666666666,0.478624552488327,1.0,1.0,0.875,0.730357438325882,1.0,1.0,0.78125,0.1633973339838641,1.0,1.0,0.9490740740740741,0.3263493481308523,0.9177215189873418,0.8810126582278481,0.8360759493670886
0.47943176825841266,1.0,1.0,0.9166666666666666,0.6281590362389883,1.0,1.0,0.7083333333333334,0.7590333720048269,1.0,1.0,0.4895833333333333,0.4521177758773168,1.0,1.0,0.8541666666666666,0.6766568720340729,1.0,1.0,0.8125,0.13073901326528617,1.0,1.0,0.9537037037037037,0.3039849131095289,0.930379746835443,0.8753164556962025,0.8386075949367089
0.4416857808828354,1.0,1.0,0.9166666666666666,0.624958465496699,1.0,1.0,0.7083333333333334,0.7757248481114706,1.0,1.0,0.5729166666666666,0.4307687282562256,1.0,1.0,0.8854166666666666,0.6417866150538126,1.0,1.0,0.7916666666666666,0.11501605728907245,1.0,1.0,0.9537037037037037,0.29859860241413116,0.9253164556962026,0.8822784810126583,0.8386075949367089
0.40914928416411084,1.0,1.0,0.9166666666666666,0.6133350928624471,1.0,1.0,0.7083333333333334,0.7434776922067007,1.0,1.0,0.5729166666666666,0.41338812311490375,1.0,1.0,0.8854166666666666,0.5794502000013987,1.0,1.0,0.8125,0.09876777763877596,1.0,1.0,0.9537037037037037,0.28674010405636796,0.9151898734177215,0.8879746835443038,0.8424050632911393
0.3821519762277603,1.0,1.0,0.8854166666666666,0.5970682700475057,1.0,1.0,0.7083333333333334,0.7358760337034861,1.0,1.0,0.6145833333333334,0.3975572536389033,1.0,1.0,0.875,0.5275368690490723,1.0,1.0,0.84375,0.10199645321284022,1.0,1.0,0.9537037037037037,0.29940202862325344,0.9234177215189874,0.8803797468354431,0.8278481012658228
0.3648287703593572,1.0,1.0,0.9166666666666666,0.5832171340783437,1.0,1.0,0.7395833333333334,0.7167832553386688,1.0,1.0,0.5729166666666666,0.3800668766101201,1.0,1.0,0.8854166666666666,0.4749249468247096,1.0,1.0,0.8541666666666666,0.09563024581543036,1.0,1.0,0.9537037037037037,0.3443087057934867,0.8835443037974684,0.8860759493670886,0.8462025316455696
