reward_A,loss_A,reward_B,loss_B,reward_C,loss_C,reward_D,loss_D,reward_E,loss_E,reward_F,loss_F
,,,,,,,,4.0,1.5454727521086469,1.0,0.7667207118391692
,,,,,,,,3.5,1.616439266424146,1.6666666,0.7585412152456421
,,,,,,,,4.0,1.46055732225277,1.5555556,0.755639775487942
,,,,,,,,5.5,1.845021967448806,0.8888889,0.7872229384573312
,,,,,,,,4.5,1.6238620874721696,1.6666666,0.7242910998317044
,,,,,,,,3.0,1.924607909710582,1.5555556,0.7225195334835789
,,,,,,,,5.0,1.8333540354145061,1.2222222,0.623603465739025
,,,,,,,,2.0,1.6949935510205396,1.2222222,0.7915429639361877
,,,,,,,,0.0,2.0638731367945167,2.1111112,0.8832750201487285
,,,,,,,,2.5,1.5020807070920934,1.0,0.7914076095130003
,,,,,,,,4.0,1.8418215179586466,1.2222222,0.8166691456778518
,,,,,,,,4.5,1.7993338237784655,1.1111112,0.652347514312934
,,,,,,,,7.0,1.8714837971354847,1.3333334,0.717872108496515
,,,,,,,,6.0,1.6920695320728913,1.5555556,0.6474593078280172
,,,,,,,,5.0,1.977343577569495,1.1111112,0.7234075104889826
,,,,,,,,4.5,1.896379078767057,1.4444444,0.7230848131031042
,,,,,,,,5.5,1.8255066258446213,1.2222222,0.7850307484510717
,,,,,,,,4.0,1.4993850853287463,1.7777778,0.688151124245023
,,,,,,,,4.5,1.8583048700801519,2.2222223,0.7711545667219116
,,,,,,,,5.0,1.7117619306431688,1.5555556,0.7515266137081658
,,,,,,,,1.0,1.743427458093502,1.3333334,0.8034842103577177
,,,,,,,,4.0,1.5716476621388353,1.2222222,0.749893671548772
,,,,,,,,6.0,1.8137090193077434,1.3333334,0.7663454809870796
,,,,,,,,4.0,1.9290889253613095,0.7777778,0.7260433288721682
,,,,,,,,4.0,1.754460153430728,1.5555556,0.7987898061494524
,,,,,,,,0.0,1.913087341353807,1.6666666,0.735488453652408
,,,,,,,,4.5,1.8438900979111963,1.2222222,0.7729099958156023
,,,,,,,,1.0,1.73398129611289,1.3333334,0.7899491685273005
,,,,,,,,5.0,2.071209482858605,1.6666666,0.7962374946552175
,,,,,,,,5.0,1.6624731080780344,1.7777778,0.755163095405817
,,,,,,,,2.0,1.735797538764308,1.6666666,0.6915076303470353
,,,,,,,,5.5,1.4650177536623783,1.5555556,0.6278165309222862
,,,,,,,,6.0,1.6778476229675352,1.1111112,0.7698303106759956
,,,,,,,,3.0,1.8278634288732891,1.4444444,0.655216879818872
,,,,,,,,2.0,1.3215040857944107,1.6666666,0.7280383324114879
,,,,,,,,5.0,1.4824688547131835,1.4444444,0.7870254234632909
,,,,,,,,3.5,1.3676696026121848,1.2222222,0.8328307903339877
,,,,,,,,6.5,1.7576463820931683,1.4444444,0.6625291925027088
,,,,,,,,2.0,1.819449017629065,0.7777778,0.70258036287285
,,,,,,,,5.0,1.6173175924733116,1.2222222,0.6376599858244902
,,,,,,,,3.0,1.9104334799947895,1.4444444,0.7255560284416315
,,,,,,,,5.0,2.005229238674425,1.3333334,0.7361754978701244
,,,,,,,,7.0,1.964832524608265,1.8888888,0.7487817475688392
,,,,,,,,4.0,1.6836703676888078,1.2222222,0.8277883382451237
,,,,,,,,7.0,1.6429725291329516,1.6666666,0.766303504916101
,,,,,,,,5.5,1.7959938408689475,1.5555556,0.7607414294842832
,,,,,,,,3.0,2.0023248941740563,1.6666666,0.7972462179248416
,,,,,,,,2.0,1.8073925479227089,1.3333334,0.796791561033081
,,,,,,,,7.0,1.8246102946939438,1.7777778,0.7843097901648912
,,,,,,,,4.5,1.7028202006963657,1.8888888,0.6856394955052544
,,,,,,,,4.0,1.5610224345333725,1.6666666,0.6496343461390962
,,,,,,,,3.5,1.750250083743341,1.4444444,0.8249215671503134
,,,,,,,,4.0,1.8720379231001085,1.3333334,0.7670188855756551
,,,,,,,,2.5,2.0842042269458583,1.6666666,0.7667348172417997
,,,,,,,,5.0,1.6881215747312375,1.6666666,0.7583160582442545
,,,,,,,,3.5,1.7384875679891951,1.5555556,0.7893338756134213
,,,,,,,,5.0,1.8832707294704474,1.5555556,0.8351699754349259
,,,,,,,,4.5,2.0186057128048907,1.1111112,0.8394090631368453
,,,,,,,,7.0,1.8695813733952185,1.6666666,0.7427066087612195
,,,,,,,,5.5,2.32083376233967,1.7777778,0.8372459624671624
,,,,,,,,5.0,1.7581888891416024,1.8888888,0.832233384681335
,,,,,,,,5.0,1.9228885920250416,1.3333334,0.7476089842433558
,,,,,,,,9.0,2.008594356461171,1.1111112,0.7176149461485822
,,,,,,,,6.5,1.8109024185873868,1.5555556,0.7079419627640443
,,,,,,,,4.0,1.8389930733556619,2.1111112,0.7718564124278482
,,,,,,,,2.5,1.8190096456005302,1.5555556,0.8128498145978954
,,,,,,,,5.5,2.3077475359037467,1.8888888,0.8192751638406712
,,,,,,,,8.0,1.8986325187286426,1.5555556,0.8382337160149781
,,,,,,,,2.0,2.1749656080744524,1.6666666,0.8328684615330186
,,,,,,,,4.0,2.27482713062151,1.4444444,0.8194006747989377
,,,,,,,,5.5,2.3020743107972153,1.2222222,0.7772772169463958
,,,,,,,,4.0,1.9396445349005282,2.2222223,0.8580642786957837
,,,,,,,,4.5,1.7869365519608842,1.3333334,0.8569878632310142
,,,,,,,,7.0,1.8575950795312752,1.3333334,0.7468069831671994
,,,,,,,,6.5,1.8648745697521694,1.3333334,0.8345189077907962
,,,,,,,,5.0,2.1669147570247853,1.5555556,0.6811127975366575
,,,,,,,,7.0,2.1080831429494844,1.2222222,0.7766710783644386
,,,,,,,,5.0,2.212944588187644,1.1111112,0.6991408310783762
,,,,,,,,6.5,2.045540575848741,1.7777778,0.7601903578729352
